eol_page_id,taxonomy_id,genus,species
1094815,1239,Disperis,thorncroftii Schltr.
1094816,1240,Disperis,togoensis Schltr.
1094818,1243,Disperis,tripetaloides Thouars
1094819,1244,Disperis,tysonii Bolus
1094826,1249,Disperis,woodii Bolus
1094923,24765,Cyrtorchis,henriquesiana
1094942,7952,Dracula,vampira
1094996,25186,Dryadorchis,barbellata
1094998,25189,Dryadorchis,minor
1095002,25638,Drymoanthus,minimus
1095016,546,Duckeella,pauciflora Garay
1095019,877,Cypripedium,micranthum Franch.
1095020,876,Cypripedium,margaritaceum Franch.
1095021,874,Cypripedium,macranthos Sw.
1095022,873,Cypripedium,ludlowii P.
1095024,871,Cypripedium,lentiginosum P.
1095025,870,Cypripedium,kentuckiense C.
1095027,868,Cypripedium,irapeanum Lex.
1095037,895,Cypripedium,tibeticum King
1095038,893,Cypripedium,taibaiense G.
1095089,28843,Cyrtochilum,halteratum
1095471,24659,Eggelingia,ligulifolia
1095474,27566,Cyrtopodium,punctatum
1096168,33924,Encyclia,argentinensis
1096556,33971,Encyclia,granitica
1096802,32884,Epidendrum,magnicallosum
1096876,34025,Encyclia,pachyantha
1096941,34036,Encyclia,phoenicea
1097480,31957,Epidendrum,amblostomoides
1097559,32368,Epidendrum,cyclopterum
1097562,33408,Epidendrum,rigidum
1097702,33311,Epidendrum,prostratum
1097717,32773,Epidendrum,laeve
1097758,33373,Epidendrum,ramosum
1097775,33426,Epidendrum,rondoniense
1097787,33365,Epidendrum,radicans
1097791,33361,Epidendrum,quinquecallosum
1097797,33522,Epidendrum,smaragdinum
1097812,31964,Epidendrum,amphistomum
1097914,32417,Epidendrum,diothonaeoides
1098144,33749,Epidendrum,viviparum
1098309,15209,Epipactis,helleborine
1098322,15207,Epipactis,gigantea
1098335,15214,Epipactis,muelleri
1098340,15216,Epipactis,palustris
1098343,15219,Epipactis,phyllanthes
1098348,15221,Epipactis,purpurata
1098438,32006,Epidendrum,apaganum
1098460,32299,Epidendrum,compressum
1098554,15211,Epipactis,leptochila
1098611,32706,Epidendrum,insulanum
1098628,32238,Epidendrum,chioneum
1098629,22188,Eria,javanica
1098721,27535,Cyrtopodium,cristatum
1098773,26898,Eulophia,coddii
1098800,26952,Eulophia,graminea
1098801,26953,Eulophia,grandidieri
1098803,26956,Eulophia,herbacea
1098830,27050,Eulophia,ramosa
1098841,27014,Eulophia,nuda
1098952,7097,Eurycentrum,obscurum Blume
1099018,30978,Galeottia,jorisiana
1099020,30980,Galeottia,negrensis
1099059,24747,Ancistrorhynchus,tenuicaulis
1099081,15733,Gastrodia,africana
1099135,18295,Dendrobium,taurulinum
1099258,31142,Gongora,nigrita
1099305,24128,Angraecum,dendrobiopsis
1099310,24130,Angraecum,distichum
1099320,24133,Angraecum,doratophyllum
1099326,4819,Gymnadenia,crassinervis Finet
1099330,4832,Gymnadenia,orchidis Lindl.
1099334,24140,Angraecum,eichlerianum
1099337,24144,Angraecum,equitans
1099356,1847,Habenaria,alata Hook.
1099389,1966,Habenaria,christianii Schltr.
1099396,1975,Habenaria,coeloglossoides Summerh.
1099410,18043,Dendrobium,puniceum
1099411,18040,Dendrobium,punamense
1099422,2033,Habenaria,digitata Lindl.
1099427,2040,Habenaria,distans Griseb.
1099433,2053,Habenaria,dusenii Schltr.
1099435,24161,Angraecum,humbertii
1099440,2117,Habenaria,glazioviana Kraenzl.
1099448,2137,Habenaria,hamata Barb.
1099456,2185,Habenaria,insularis Schltr.
1099458,2191,Habenaria,isoantha Schltr.
1099465,2196,Habenaria,jacobii Summerh.
1099467,2198,Habenaria,jaguariahyvae Kraenzl.
1099489,2288,Habenaria,longipedicellata Hoehne
1099490,2332,Habenaria,marginata Colebr.
1099526,24188,Angraecum,mahavavense
1099555,2444,Habenaria,petalodes Lindl.
1099562,2450,Habenaria,phantasma la
1099581,2538,Habenaria,rodeiensis Barb.
1099587,2541,Habenaria,roraimensis Rolfe
1099598,24197,Angraecum,moratii
1099606,2577,Habenaria,secundiflora Barb.
1099608,2578,Habenaria,setacea Lindl.
1099613,2595,Habenaria,spathulifera Cogn.
1099619,2599,Habenaria,sprucei Cogn.
1099626,2620,Habenaria,supplicans Summerh.
1099627,24203,Angraecum,obesum
1099666,2696,Habenaria,villosa Rolfe
1099694,24231,Angraecum,pseudodidieri
1099695,24232,Angraecum,pseudofilicornu
1099703,24264,Angraecum,sterrophyllum
1099704,24268,Angraecum,subulatum
1099706,24271,Angraecum,tenellum
1099710,24277,Angraecum,triangulifolium
1099711,24276,Angraecum,teretifolium
1099718,24285,Angraecum,viguieri
1099730,15083,Helonoma,bifida
1099731,4904,Hemipilia,flabellata Bureau
1099733,4914,Hemipilia,henryi Rolfe
1099757,1642,Herminium,ophioglossoides Schltr.
1099851,3005,Holothrix,filicornis Immelman
1099870,3030,Holothrix,socotrana Rolfe
1099919,17982,Dendrobium,plicatile
1099932,18127,Dendrobium,ruttenii
1099939,18132,Dendrobium,salaccense
1099951,18022,Dendrobium,pseudoconanthum
1099969,17990,Dendrobium,poissonianum
1099992,17664,Dendrobium,leptocladum
1099993,17663,Dendrobium,leporinum
1099998,17657,Dendrobium,laxiflorum
1100002,17653,Dendrobium,laurensii
1100013,17642,Dendrobium,lancifolium
1100024,17629,Dendrobium,laevifolium
1100059,17584,Dendrobium,kanakorum
1100077,31092,Gongora,atropurpurea
1100084,7050,Gonatostylis,bougainvillei N.
1100102,17804,Dendrobium,muricatum
1100111,17829,Dendrobium,ngoyense
1100125,17872,Dendrobium,okabeanum
1100133,18254,Dendrobium,subacaule
1100135,18252,Dendrobium,stuposum
1100141,18246,Dendrobium,strepsiceros
1100182,17283,Dendrobium,devonianum
1100188,17276,Dendrobium,densiflorum
1100199,18219,Dendrobium,spectabile
1100241,18407,Dendrobium,vexillarius
1100245,18414,Dendrobium,violaceominiatum
1100250,18386,Dendrobium,vandifolium
1100260,18372,Dendrobium,undatialatum
1100272,18350,Dendrobium,trilamellatum
1100304,17199,Dendrobium,crassifolium
1100306,17197,Dendrobium,crassicaule
1100322,17173,Dendrobium,conanthum
1100336,17154,Dendrobium,cleistogamum
1100343,17146,Dendrobium,chrysotoxum
1100396,17769,Dendrobium,mirbelianum
1100398,17767,Dendrobium,minutiflorum
1100403,17760,Dendrobium,militare
1100413,17749,Dendrobium,melinanthum
1100429,17725,Dendrobium,magistratus
1100437,17714,Dendrobium,macranthum
1100448,17696,Dendrobium,longicornu
1100459,17681,Dendrobium,litorale
1100498,539,Duckeella,adolphii Porto
1100530,31541,Earina,floripecten
1100602,24154,Angraecum,gabonense
1100605,4813,Gymnadenia,conopsea L.
1100628,27027,Eulophia,parilamellata
1100639,2697,Habenaria,virens A.
1100643,24223,Angraecum,pinifolium
1100661,24191,Angraecum,melanostictum
1100691,2601,Habenaria,stenochila Lindl.
1100727,2124,Habenaria,goyazensis Cogn.
1100737,24736,Ancistrorhynchus,laxiflorus
1100738,24740,Ancistrorhynchus,parviflorus
1100739,24743,Ancistrorhynchus,refractus
1100766,7083,Herpysma,longicaulis Lindl.
1100820,27054,Eulophia,reticulata
1100822,1923,Habenaria,bosseriana Szlach.
1100880,1247,Disperis,virginalis Schltr.
1100935,33825,Dimerandra,emarginata
1100936,33823,Dimerandra,carnosiflora
1101016,15857,Didymoplexis,africana
1101046,30686,Dichaea,tenuis
1101060,30671,Dichaea,rodriguesii
1101065,30665,Dichaea,rendlei
1101066,30664,Dichaea,pumila
1101071,30658,Dichaea,pendula
1101072,30657,Dichaea,panamensis
1101092,30638,Dichaea,latifolia
1101104,30625,Dichaea,graminoides
1101117,30602,Dichaea,cornuta
1101118,30601,Dichaea,cogniauxiana
1101149,24815,Diaphananthe,trigonopetala
1101152,24810,Diaphananthe,sarcorhynchoides
1101163,24524,Dendrophylax,lindenii
1101166,24519,Dendrophylax,fawcettii
1101202,32898,Epidendrum,mantinianum
1101206,32888,Epidendrum,magnoliae
1101223,32868,Epidendrum,macrocarpum
1101237,32842,Epidendrum,longicolle
1101295,32956,Epidendrum,microphyllum
1101306,32203,Epidendrum,carpophorum
1101316,32399,Epidendrum,densiflorum
1101345,631,Epistephium,parviflorum Lindl.
1101352,625,Epistephium,hernandii Garay
1101354,621,Epistephium,ellipticum R.
1101356,619,Epistephium,duckei Huber
1101380,32261,Epidendrum,ciliare
1101437,32648,Epidendrum,hombersleyi
1101486,32565,Epidendrum,gentryi
1101488,32561,Epidendrum,geminiflorum
1101513,32514,Epidendrum,flexuosum
1101581,33309,Epidendrum,proligerum
1101607,33547,Epidendrum,spruceanum
1101623,33197,Epidendrum,patens
1101752,33028,Epidendrum,myrmecophorum
1101756,33024,Epidendrum,mutelianum
1101766,33004,Epidendrum,montserratense
