id,scientific_name,genus,species,author,synonyms,common_names,created_at,updated_at
754,Vanilla marmoreisense Soto Calvo,Vanilla,marmoreisense Soto,,,,2025-09-07 07:06:11.041396,2025-09-07 07:06:11.041398
755,Vanilla marowynensis Pulle,Vanilla,marowynensis Pulle,,,,2025-09-07 07:06:11.080703,2025-09-07 07:06:11.080704
756,Vanilla methonica Rchb.f. & Warsz.,Vanilla,methonica Rchb.f.,,,,2025-09-07 07:06:11.119752,2025-09-07 07:06:11.119754
757,Vanilla mexicana (L.) Mill.,Vanilla,mexicana L.,,,,2025-09-07 07:06:11.159227,2025-09-07 07:06:11.159229
758,Vanilla moonii Thwaites,Vanilla,moonii Thwaites,,,,2025-09-07 07:06:11.198298,2025-09-07 07:06:11.1983
759,Vanilla nigerica Rendle,Vanilla,nigerica Rendle,,,,2025-09-07 07:06:11.237002,2025-09-07 07:06:11.237004
760,Vanilla norashikiniana Go & Raffi,Vanilla,norashikiniana Go,,,,2025-09-07 07:06:11.27617,2025-09-07 07:06:11.276172
761,Vanilla ochyrae Szlach. & Olszewski,Vanilla,ochyrae Szlach.,,,,2025-09-07 07:06:11.315201,2025-09-07 07:06:11.315205
762,Vanilla odorata C. Presl,Vanilla,odorata C.,,,,2025-09-07 07:06:11.370251,2025-09-07 07:06:11.370254
763,Vanilla organensis Rolfe,Vanilla,organensis Rolfe,,,,2025-09-07 07:06:11.409815,2025-09-07 07:06:11.409817
764,Vanilla oroana Dodson,Vanilla,oroana Dodson,,,,2025-09-07 07:06:11.448565,2025-09-07 07:06:11.448566
765,Vanilla palembanica Teijsm. & Binn.,Vanilla,palembanica Teijsm.,,,,2025-09-07 07:06:11.487761,2025-09-07 07:06:11.487763
766,Vanilla palmarum (Salzm. ex Lindl.) Lindl.,Vanilla,palmarum Salzm.,,,,2025-09-07 07:06:11.526565,2025-09-07 07:06:11.526566
767,Vanilla parvifolia Barb. Rodr.,Vanilla,parvifolia Barb.,,,,2025-09-07 07:06:11.565487,2025-09-07 07:06:11.565489
768,Vanilla paulista Fraga & Pansarin,Vanilla,paulista Fraga,,,,2025-09-07 07:06:11.60483,2025-09-07 07:06:11.604834
769,Vanilla penicillata Garay & Dunst.,Vanilla,penicillata Garay,,,,2025-09-07 07:06:11.646209,2025-09-07 07:06:11.646212
770,Vanilla perrieri Schltr.,Vanilla,perrieri Schltr.,,,,2025-09-07 07:06:11.686629,2025-09-07 07:06:11.686632
771,Vanilla phaeantha Rchb.f.,Vanilla,phaeantha Rchb.f.,,,,2025-09-07 07:06:11.731924,2025-09-07 07:06:11.731927
772,Vanilla phalaenopsis Rchb.f. ex Van Houtte,Vanilla,phalaenopsis Rchb.f.,,,,2025-09-07 07:06:11.77133,2025-09-07 07:06:11.771332
773,Vanilla planifolia Andrews,Vanilla,planifolia Andrews,,,,2025-09-07 07:06:11.815992,2025-09-07 07:06:11.815995
774,Vanilla platyphylla Schltr.,Vanilla,platyphylla Schltr.,,,,2025-09-07 07:06:11.855866,2025-09-07 07:06:11.855869
775,Vanilla poitaei Rchb.f.,Vanilla,poitaei Rchb.f.,,,,2025-09-07 07:06:11.895456,2025-09-07 07:06:11.89546
776,Vanilla polylepis Summerh.,Vanilla,polylepis Summerh.,,,,2025-09-07 07:06:11.934868,2025-09-07 07:06:11.934871
777,Vanilla pompona ssp. pompona Schiede,Vanilla,pompona ssp.,,,,2025-09-07 07:06:11.973888,2025-09-07 07:06:11.973891
778,Vanilla pompona ssp. grandiflora (Lindl.) Soto Arenas,Vanilla,pompona ssp.,,,,2025-09-07 07:06:12.013073,2025-09-07 07:06:12.013076
779,Vanilla pompona ssp. pittieri (Schltr.) Dressler,Vanilla,pompona ssp.,,,,2025-09-07 07:06:12.052199,2025-09-07 07:06:12.052201
780,Vanilla raabii Ormerod & Cootes,Vanilla,raabii Ormerod,,,,2025-09-07 07:06:12.091361,2025-09-07 07:06:12.091363
781,Vanilla ramificans J. J. Sm.,Vanilla,ramificans J.,,,,2025-09-07 07:06:12.131013,2025-09-07 07:06:12.131015
782,Vanilla ramosa Rolfe,Vanilla,ramosa Rolfe,,,,2025-09-07 07:06:12.170285,2025-09-07 07:06:12.170287
783,Vanilla ribeiroi Hoehne,Vanilla,ribeiroi Hoehne,,,,2025-09-07 07:06:12.20901,2025-09-07 07:06:12.209012
784,Vanilla rivasii Molineros,Vanilla,rivasii Molineros,,,,2025-09-07 07:06:12.247938,2025-09-07 07:06:12.247939
785,Vanilla roscheri Rchb.f.,Vanilla,roscheri Rchb.f.,,,,2025-09-07 07:06:12.286667,2025-09-07 07:06:12.286669
786,Vanilla ruiziana Klotzsch,Vanilla,ruiziana Klotzsch,,,,2025-09-07 07:06:12.325426,2025-09-07 07:06:12.325428
787,Vanilla rupicola Pansarin & E. L. F. Menezes,Vanilla,rupicola Pansarin,,,,2025-09-07 07:06:12.365221,2025-09-07 07:06:12.365224
788,Vanilla sanjappae Rasingam,Vanilla,sanjappae Rasingam,,,,2025-09-07 07:06:12.4051,2025-09-07 07:06:12.405104
789,Vanilla sarapiquensis Soto Arenas,Vanilla,sarapiquensis Soto,,,,2025-09-07 07:06:12.443951,2025-09-07 07:06:12.443952
790,Vanilla seranica J. J. Sm.,Vanilla,seranica J.,,,,2025-09-07 07:06:12.48299,2025-09-07 07:06:12.482992
791,Vanilla seretii De Wild.,Vanilla,seretii De,,,,2025-09-07 07:06:12.521817,2025-09-07 07:06:12.52182
792,Vanilla shenzhenica Z. J. Liu & S. C. Chen,Vanilla,shenzhenica Z.,,,,2025-09-07 07:06:12.560836,2025-09-07 07:06:12.560838
793,Vanilla shenzhenica Z. J. Liu & S. C. Chen var. fujianica Z. Zhao,Vanilla,shenzhenica Z.,,,,2025-09-07 07:06:12.599545,2025-09-07 07:06:12.599547
794,Vanilla siamensis Rolfe ex Downie,Vanilla,siamensis Rolfe,,,,2025-09-07 07:06:12.638979,2025-09-07 07:06:12.638982
795,Vanilla somae Hayata,Vanilla,somae Hayata,,,,2025-09-07 07:06:12.688763,2025-09-07 07:06:12.688767
796,Vanilla sprucei Rolfe,Vanilla,sprucei Rolfe,,,,2025-09-07 07:06:12.728239,2025-09-07 07:06:12.728242
797,Vanilla sumatrana J. J. Sm.,Vanilla,sumatrana J.,,,,2025-09-07 07:06:12.769518,2025-09-07 07:06:12.769521
798,Vanilla tiendatii Vuong,Vanilla,tiendatii Vuong,,,,2025-09-07 07:06:12.809302,2025-09-07 07:06:12.809305
799,Vanilla trigonocarpa Hoehne,Vanilla,trigonocarpa Hoehne,,,,2025-09-07 07:06:12.849454,2025-09-07 07:06:12.849457
800,Vanilla utteridgei J. J. Wood,Vanilla,utteridgei J.,,,,2025-09-07 07:06:12.889562,2025-09-07 07:06:12.889565
801,Vanilla vellozoi Rolfe,Vanilla,vellozoi Rolfe,,,,2025-09-07 07:06:12.929409,2025-09-07 07:06:12.929412
802,Vanilla walkerae Wight,Vanilla,walkerae Wight,,,,2025-09-07 07:06:12.968833,2025-09-07 07:06:12.968836
