genus,species,image_count,country_count,sources
Dendrobium,tortile,33,6,GBIF
Dendrobium,lunatum,33,2,GBIF
Rhyncholaelia,glauca,32,0,"GBIF,Roberta Fox Collection"
Phragmipedium,pearcei Rchb.f.,32,2,"GBIF,Tropicos - Missouri Botanical Garden"
Disa,patula Sond.,32,1,GBIF
Dendrobium,toressae,32,0,"Chris Howard Collection,GBIF"
Nigritella,nigra ssp.,32,0,GBIF
Epidendrum,jajense,32,2,"GBIF,Tropicos - Missouri Botanical Garden"
Eulophia,picta,32,1,GBIF
Satyrium,amoenum A.,32,0,GBIF
Herminium,latilabre Lindl.,32,4,GBIF
Dactylorhiza,incarnata,32,3,GBIF
Bulbophyllum,medusae,32,4,"GBIF,Tropicos - Missouri Botanical Garden"
Epidendrum,caroli,32,2,"GBIF,Tropicos - Missouri Botanical Garden"
Angraecum,scottianum,32,0,"Chris Howard Collection,GBIF"
Epidendrum,cnemidophorum,31,2,"GBIF,Tropicos - Missouri Botanical Garden"
Maxillaria,praestans,31,5,"GBIF,Tropicos - Missouri Botanical Garden"
Calochilus,pruinosus D.,31,1,GBIF
Didymoplexis,pallens,31,1,GBIF
Acianthera,cogniauxiana,31,1,"GBIF,iNaturalist"
Spiranthes,spiralis,31,1,"GBIF,iNaturalist"
Dendrobium,capituliflorum,31,0,"Chris Howard Collection,GBIF"
Cynorkis,anacamptoides Kraenzl.,31,1,GBIF
Habenaria,stylites ssp.,31,0,GBIF
Acampe,rigida,31,1,"GBIF,iNaturalist"
Stereosandra,javanica,31,1,GBIF
Laelia,autumnalis,31,0,"GBIF,Roberta Fox Collection"
Neobolusia,tysonii Bolus,31,1,"GBIF,iNaturalist"
Laelia,splendida,31,0,"GBIF,Roberta Fox Collection"
Cymbidium,tracyanum,31,0,"Chris Howard Collection,GBIF"
Aerangis,citrata,31,0,"Chris Howard Collection,GBIF"
Vanilla,mexicana L.,31,2,GBIF
Epidendrum,avicula,31,0,"Chris Howard Collection,GBIF"
Caladenia,saxicola A.,31,1,GBIF
Pterostylis,coccina Fitzg.,31,1,GBIF
Isochilus,major,31,0,"GBIF,Roberta Fox Collection"
Satyrium,chlorocorys Rchb.f.,31,1,"GBIF,iNaturalist"
Epidendrum,endresii,31,1,GBIF
Dendrobium,cuthbertsonii,31,1,"Chris Howard Collection,GBIF"
Pinalia,formosana,30,0,GBIF
Microchilus,hirtellus Sw.,30,0,GBIF
Lepanthes,montezumae,30,0,GBIF
Pabstiella,trifida,30,0,GBIF
Microchilus,peterianus,30,0,GBIF
Acampe,ochracea,30,1,"GBIF,iNaturalist"
Platanthera,obtusata Banks,30,0,GBIF
Epidendrum,hemiscleria,30,2,GBIF
Prosthechea,mejia,30,0,GBIF
Cyrtochilum,tetracopis,30,0,GBIF
Cynorkis,nutans Ridl.,30,0,GBIF
Oncidium,lehmannii,30,0,GBIF
Cynorkis,ridleyi T.,30,0,GBIF
Cyrtochilum,serratum,30,0,GBIF
Cyrtochilum,scabiosum,30,0,GBIF
Prosthechea,guttata,30,0,GBIF
Gastrodia,sesamoides,30,0,GBIF
Pelexia,funckiana,30,0,GBIF
