genus,species,image_url,source,country,locality,latitude,longitude,observer,license,created_at
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563049673/original.jpg,iNaturalist,"Spillimacheen, BC V0A 1P0, Canada","Spillimacheen, BC V0A 1P0, Canada",51.1311411,-116.1307219,student_of_life,cc-by-nc,2025-11-26 03:39:46.246739
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563049656/original.jpg,iNaturalist,"Spillimacheen, BC V0A 1P0, Canada","Spillimacheen, BC V0A 1P0, Canada",51.1311411,-116.1307219,student_of_life,cc-by-nc,2025-11-26 03:39:46.180718
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563049639/original.jpg,iNaturalist,"Spillimacheen, BC V0A 1P0, Canada","Spillimacheen, BC V0A 1P0, Canada",51.1311411,-116.1307219,student_of_life,cc-by-nc,2025-11-26 03:39:46.107788
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563236327/original.jpg,iNaturalist,"Central Coast, BC, Canada","Central Coast, BC, Canada",52.7104194,-126.9145889,paytonhara,cc-by-nc,2025-11-26 03:39:45.968080
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563548752/original.jpg,iNaturalist,"Montana, US","Montana, US",45.7097315,-110.8335644,blazeclaw,cc-by,2025-11-26 03:39:45.901233
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563548682/original.jpg,iNaturalist,"Montana, US","Montana, US",45.7097315,-110.8335644,blazeclaw,cc-by,2025-11-26 03:39:45.831342
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563548717/original.jpg,iNaturalist,"Montana, US","Montana, US",45.7097315,-110.8335644,blazeclaw,cc-by,2025-11-26 03:39:45.766812
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563937191/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0469316,-114.8681411,norbertkondla,cc-by-nc,2025-11-26 03:39:45.684814
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/563938079/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0468974,-114.8684985,norbertkondla,cc-by-nc,2025-11-26 03:39:45.614645
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/564620612/original.jpg,iNaturalist,"Central Kootenay, BC, CA","Central Kootenay, BC, CA",49.9672250,-117.3564133,mollynharris,cc-by-nc,2025-11-26 03:39:45.550647
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/564620068/original.jpg,iNaturalist,"Central Kootenay, BC, CA","Central Kootenay, BC, CA",49.9672250,-117.3564133,mollynharris,cc-by-nc,2025-11-26 03:39:45.474810
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/564901198/original.jpg,iNaturalist,"Glacier View, AK 99674, USA","Glacier View, AK 99674, USA",61.8102723,-147.9651312,allaboutplants,cc-by-nc,2025-11-26 03:39:45.410759
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/564901122/original.jpg,iNaturalist,"Glacier View, AK 99674, USA","Glacier View, AK 99674, USA",61.8102723,-147.9651312,allaboutplants,cc-by-nc,2025-11-26 03:39:45.334210
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/565044755/original.jpg,iNaturalist,"Anchorage County, US-AK, US","Anchorage County, US-AK, US",61.3644002,-149.2354060,allaboutplants,cc-by-nc,2025-11-26 03:39:45.246493
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/565207272/original.jpg,iNaturalist,"Weed, CA, USA","Weed, CA, USA",41.4226498,-122.3861269,vbaake,cc-by-nc,2025-11-26 03:39:45.182642
Calypso,bulbosa,https://static.inaturalist.org/photos/566351352/original.jpg,iNaturalist,"Whatcom County, WA, USA","Whatcom County, WA, USA",48.7200646,-121.1263776,wingtrip,,2025-11-26 03:39:45.118235
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/566655156/original.jpg,iNaturalist,"Central Kootenay, BC, Canada","Central Kootenay, BC, Canada",49.1910060,-117.6157760,abbyhyde,cc-by,2025-11-26 03:39:45.053535
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/567087824/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",50.8051945,-114.5914161,norbertkondla,cc-by-nc,2025-11-26 03:39:44.990102
Calypso,bulbosa,https://static.inaturalist.org/photos/567996057/original.jpg,iNaturalist,"Port Angeles, WA 98363, USA","Port Angeles, WA 98363, USA",48.0553658,-123.7407527,herpsaurus,,2025-11-26 03:39:44.926700
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/568408058/original.jpg,iNaturalist,"Bulkley-Nechako, BC, Canada","Bulkley-Nechako, BC, Canada",53.8936205,-126.3879490,theoverlook,cc-by-nc,2025-11-26 03:39:44.862857
